redemption_id,customer_id,ts_epoch,timestamp,promo_redemptions_on_device,promo_redemptions_on_ip,accounts_on_device_7d,signup_to_redeem_seconds,email_pattern_similarity,component_account_count,payout_destination_reuse,abuse_label,split
RD_001456,CUST_004157,1767245236.8526027,2026-01-01T05:27:16.852603+00:00,0,0,1,1098.7,0.14388567991443468,1,0,0,train
RD_002166,CUST_002245,1767288818.5848024,2026-01-01T17:33:38.584802+00:00,0,0,1,562.9,0.2726386613127516,1,0,0,train
RD_001067,CUST_001365,1767290179.4043226,2026-01-01T17:56:19.404323+00:00,0,0,1,1030.9,0.24044678171375355,1,0,0,train
RD_004738,CUST_003882,1767291625.98638,2026-01-01T18:20:25.986380+00:00,0,0,2,530.3,0.1946273359065208,4,0,0,train
RD_AB_00063_00,CUST_PA00063_00,1767293979.5621955,2026-01-01T18:59:39.562196+00:00,0,0,1,31.6,0.6675129889530063,5,0,1,train
RD_AB_00063_01,CUST_PA00063_01,1767294798.2601361,2026-01-01T19:38:53.860392+00:00,1,1,2,5.2,0.906128466377403,5,1,1,train
RD_AB_00063_02,CUST_PA00063_02,1767300737.8557043,2026-01-01T21:46:13.378932+00:00,0,2,3,48.4,0.8339452907850385,5,1,1,train
RD_AB_00063_04,CUST_PA00063_04,1767302639.2031145,2026-01-01T21:21:23.648129+00:00,4,4,5,4.1,0.8916351048295663,5,1,1,train
RD_AB_00063_03,CUST_PA00063_03,1767308771.2497344,2026-01-01T22:56:19.430726+00:00,3,3,4,19.6,0.8827816025347969,5,1,1,train
RD_004193,CUST_003580,1767367050.3755395,2026-01-02T15:17:30.375540+00:00,0,0,1,2344.3,0.22258892437651612,1,0,0,train
RD_AB_00001_00,CUST_PA00001_00,1767405725.132929,2026-01-03T02:02:05.132929+00:00,0,0,1,28.8,0.7419820045591932,5,0,1,train
RD_AB_00001_04,CUST_PA00001_04,1767408542.3971832,2026-01-03T02:14:09.758116+00:00,0,4,5,61.9,0.7588113790423835,5,1,1,train
RD_001394,CUST_002443,1767409805.7600873,2026-01-03T03:10:05.760087+00:00,0,0,1,4098.6,0.44278767622790094,1,0,0,train
RD_AB_00001_01,CUST_PA00001_01,1767410872.3794875,2026-01-03T02:34:52.532799+00:00,1,1,2,147.1,0.9045363152564101,5,1,1,train
RD_AB_00001_03,CUST_PA00001_03,1767412858.7094057,2026-01-03T05:59:32.525012+00:00,3,3,1,10.8,0.818592145099116,5,1,1,train
RD_AB_00001_02,CUST_PA00001_02,1767416215.8944378,2026-01-03T03:14:26.460616+00:00,0,2,1,3.7,0.842322322824808,5,1,1,train
RD_005308,CUST_001322,1767433300.3057077,2026-01-03T09:41:40.305708+00:00,0,0,1,118.3,0.09690158878923316,31,0,0,train
RD_002653,CUST_000448,1767442952.95201,2026-01-03T12:22:32.952010+00:00,0,0,1,169.6,0.03518194972084506,1,0,0,train
RD_003980,CUST_002922,1767453984.223976,2026-01-03T15:26:24.223976+00:00,0,0,1,7827.7,0.5207491419979331,1,0,0,train
RD_000164,CUST_004473,1767470200.6162484,2026-01-03T19:56:40.616248+00:00,0,0,1,718.3,0.05381129277976215,1,0,0,train
RD_AB_00045_00,CUST_PA00045_00,1767520627.073954,2026-01-04T09:57:07.073954+00:00,0,0,1,14.7,0.900681274093936,8,0,1,train
RD_AB_00045_02,CUST_PA00045_02,1767521884.49458,2026-01-04T12:30:11.933216+00:00,2,2,3,50.3,0.6865977613037435,8,1,1,train
RD_AB_00045_01,CUST_PA00045_01,1767523972.1705525,2026-01-04T10:19:14.611727+00:00,1,1,1,11.4,0.8347809781787693,8,1,1,train
RD_003446,CUST_001898,1767531322.6670384,2026-01-04T12:55:22.667038+00:00,0,0,1,4551.6,0.3009189100868835,1,0,0,train
RD_AB_00045_03,CUST_PA00045_03,1767536082.3344278,2026-01-04T11:56:16.827166+00:00,3,3,4,3.2,0.5639239156740974,8,1,1,train
RD_AB_00045_04,CUST_PA00045_04,1767536266.4486444,2026-01-04T13:38:10.315165+00:00,0,4,5,29.3,0.6452529970011548,8,1,1,train
RD_AB_00045_06,CUST_PA00045_06,1767536572.1620724,2026-01-04T10:20:35.077028+00:00,6,6,7,15.6,0.6027251835591685,8,1,1,train
RD_AB_00045_05,CUST_PA00045_05,1767538581.6522527,2026-01-04T10:45:19.705473+00:00,5,5,6,68.9,0.8685411949963254,8,1,1,train
RD_AB_00045_07,CUST_PA00045_07,1767555581.7885842,2026-01-04T18:25:04.383139+00:00,0,7,1,39.3,0.6324308570019448,8,1,1,train
RD_003940,CUST_000519,1767566145.7474594,2026-01-04T22:35:45.747459+00:00,0,0,1,450.0,0.3117483468638194,1,0,0,train
RD_004679,CUST_000076,1767584111.8963625,2026-01-05T03:35:11.896363+00:00,0,0,1,491.8,0.16553087311161976,1,0,0,train
RD_AB_00023_00,CUST_PA00023_00,1767589123.5654192,2026-01-05T04:58:43.565419+00:00,0,0,1,16.8,0.7672306928839072,4,0,1,train
RD_AB_00023_01,CUST_PA00023_01,1767592033.8051722,2026-01-05T06:14:54.145204+00:00,1,1,2,86.8,0.7759800593214228,4,0,1,train
RD_AB_00023_03,CUST_PA00023_03,1767594594.0098972,2026-01-05T06:12:31.796832+00:00,3,3,4,22.8,0.4059244288458922,4,0,1,train
RD_AB_00002_00,CUST_PA00002_00,1767596750.8456807,2026-01-05T07:05:50.845681+00:00,0,0,1,20.5,0.4401239609742258,6,0,1,train
RD_AB_00002_01,CUST_PA00002_01,1767597949.0504885,2026-01-05T07:21:27.973950+00:00,1,1,2,83.7,0.7657801434199468,6,0,1,train
RD_AB_00024_00,CUST_PA00024_00,1767599556.9959214,2026-01-05T07:52:36.995921+00:00,0,0,1,22.6,0.4940952360076218,4,0,1,train
RD_AB_00023_02,CUST_PA00023_02,1767599578.292529,2026-01-05T07:25:47.978582+00:00,2,2,3,13.8,0.37069770832366084,4,0,1,train
RD_AB_00002_02,CUST_PA00002_02,1767599594.1775439,2026-01-05T09:28:16.741057+00:00,2,2,3,21.6,0.8855279150601324,6,0,1,train
RD_AB_00002_04,CUST_PA00002_04,1767600299.5661752,2026-01-05T08:56:28.554913+00:00,4,4,5,4.1,0.9149024116012106,6,0,1,train
RD_AB_00024_01,CUST_PA00024_01,1767601146.1676753,2026-01-05T08:08:00.344450+00:00,1,1,2,15.2,0.7612866494153331,4,0,1,train
RD_AB_00024_02,CUST_PA00024_02,1767606606.5490265,2026-01-05T10:51:41.205344+00:00,0,2,3,54.6,0.7153401808614229,4,0,1,train
RD_AB_00002_03,CUST_PA00002_03,1767607398.0263164,2026-01-05T09:25:44.706727+00:00,0,3,4,0.7,0.8644865496397808,6,0,1,train
RD_005463,CUST_001255,1767610064.2450848,2026-01-05T10:47:44.245085+00:00,0,0,1,705.5,0.13464980687872746,1,0,0,train
RD_AB_00002_05,CUST_PA00002_05,1767614020.117177,2026-01-05T10:42:48.229343+00:00,0,5,6,9.6,0.7878402364996011,6,0,1,train
RD_AB_00024_03,CUST_PA00024_03,1767614497.7905793,2026-01-05T09:40:06.813888+00:00,3,3,4,12.7,0.8348301760471659,4,0,1,train
RD_000260,CUST_004533,1767636825.3130038,2026-01-05T18:13:45.313004+00:00,0,0,1,862.0,0.08119464151711611,1,0,0,train
RD_AB_00047_00,CUST_PA00047_00,1767640037.085725,2026-01-05T19:07:17.085725+00:00,0,0,1,9.5,0.8014100934914264,4,0,1,train
RD_AB_00047_02,CUST_PA00047_02,1767642378.1645951,2026-01-05T21:10:58.530085+00:00,2,2,3,86.0,0.5140545427580616,4,1,1,train
RD_AB_00047_01,CUST_PA00047_01,1767645431.6048207,2026-01-05T19:35:12.936647+00:00,0,1,2,7.9,0.7867257886409723,4,1,1,train
RD_AB_00047_03,CUST_PA00047_03,1767653754.6488316,2026-01-05T21:35:15.308788+00:00,0,3,4,34.2,0.6907920028989412,4,1,1,train
RD_001043,CUST_002182,1767660588.9319057,2026-01-06T00:49:48.931906+00:00,0,0,1,1332.0,0.06544185268100727,1,0,0,train
RD_001821,CUST_001322,1767667812.0501482,2026-01-06T02:50:12.050148+00:00,0,2,1,9427.9,0.11805644190484897,16,0,0,train
RD_004586,CUST_004297,1767735679.3469727,2026-01-06T21:41:19.346973+00:00,0,0,1,6592.2,0.12802897432762783,4,0,0,train
RD_001534,CUST_000107,1767748637.4157147,2026-01-07T01:17:17.415715+00:00,0,0,1,2312.0,0.34869155519742023,1,0,0,train
RD_003891,CUST_003208,1767787148.1500714,2026-01-07T11:59:08.150071+00:00,0,0,1,599.6,0.14406039249163557,1,0,0,train
RD_003460,CUST_003381,1767792204.8640656,2026-01-07T13:23:24.864066+00:00,0,0,1,16684.8,0.053207913634653804,1,0,0,train
RD_000972,CUST_001435,1767798014.5199726,2026-01-07T15:00:14.519973+00:00,0,0,1,3526.2,0.43101578117088296,1,0,0,train
RD_001983,CUST_000352,1767810495.1683753,2026-01-07T18:28:15.168375+00:00,0,0,1,918.2,0.5159293254634413,1,0,0,train
RD_AB_00033_00,CUST_PA00033_00,1767830016.1383126,2026-01-07T23:53:36.138313+00:00,0,0,1,1268.5,0.7786946468546454,7,0,1,train
RD_AB_00033_02,CUST_PA00033_02,1767830796.9417138,2026-01-08T02:40:25.398688+00:00,2,2,3,50.1,0.4508010288614184,7,1,1,train
RD_AB_00033_01,CUST_PA00033_01,1767831812.6238482,2026-01-08T00:07:39.087705+00:00,0,1,2,41.1,0.802920441642959,7,1,1,train
RD_AB_00033_03,CUST_PA00033_03,1767832200.2380848,2026-01-08T00:45:17.629750+00:00,3,3,4,6.6,0.5407130294196497,7,1,1,train
RD_AB_00033_04,CUST_PA00033_04,1767834457.4333763,2026-01-08T05:44:29.254460+00:00,0,4,5,24.8,0.5788543498275477,7,1,1,train
RD_000809,CUST_002932,1767836700.9722028,2026-01-08T01:45:00.972203+00:00,0,0,1,17806.1,0.06966366166241315,1,0,0,train
RD_001691,CUST_003836,1767844688.0549054,2026-01-08T03:58:08.054905+00:00,0,0,1,4887.7,0.06468506020998153,11,0,0,train
RD_AB_00033_05,CUST_PA00033_05,1767846661.8903449,2026-01-08T07:05:52.671218+00:00,5,5,6,32.4,0.7734341670557426,7,1,1,train
RD_AB_00033_06,CUST_PA00033_06,1767854395.4763134,2026-01-08T00:18:48.124593+00:00,6,6,1,122.6,0.9412809704187497,7,1,1,train
RD_000894,CUST_000397,1767857597.3145564,2026-01-08T07:33:17.314556+00:00,0,0,1,593.3,0.33896935495851155,1,0,0,train
RD_003712,CUST_002390,1767862987.5994136,2026-01-08T09:03:07.599414+00:00,0,0,1,928.2,0.24194825173824322,1,0,0,train
RD_003202,CUST_001066,1767865297.5188882,2026-01-08T09:41:37.518888+00:00,0,0,1,9672.2,0.08780197862486387,1,0,0,train
RD_AB_00069_00,CUST_PA00069_00,1767871670.1182985,2026-01-08T11:27:50.118299+00:00,0,0,1,77.8,0.6887778333781257,6,0,1,train
RD_AB_00069_01,CUST_PA00069_01,1767872330.5028355,2026-01-08T12:09:38.547236+00:00,1,1,2,41.6,0.6547461783569514,6,0,1,train
RD_AB_00069_02,CUST_PA00069_02,1767874078.8782706,2026-01-08T13:50:43.146428+00:00,2,2,3,115.3,0.5716881868024354,6,0,1,train
RD_AB_00069_03,CUST_PA00069_03,1767876873.5282855,2026-01-08T11:34:04.803621+00:00,3,3,4,65.2,0.7852667260791883,6,0,1,train
RD_AB_00069_05,CUST_PA00069_05,1767888247.2025738,2026-01-08T16:57:34.189179+00:00,5,5,6,176.3,0.6663235446471444,6,0,1,train
RD_004992,CUST_003769,1767890072.365252,2026-01-08T16:34:32.365252+00:00,0,0,1,1680.9,0.22496809547049104,1,0,0,train
RD_AB_00069_04,CUST_PA00069_04,1767892082.3849518,2026-01-08T15:54:24.221128+00:00,0,4,5,20.9,0.5021948588537343,6,0,1,train
RD_000316,CUST_000343,1767894636.431508,2026-01-08T17:50:36.431508+00:00,0,0,1,893.2,0.23545127662676638,1,0,0,train
RD_004155,CUST_003905,1767896274.394034,2026-01-08T18:17:54.394034+00:00,0,0,1,943.8,0.28774400063352457,1,0,0,train
RD_AB_00061_00,CUST_PA00061_00,1767945385.4682722,2026-01-09T07:56:25.468272+00:00,0,0,1,85.8,0.5960068093350397,4,0,1,train
RD_AB_00061_01,CUST_PA00061_01,1767945483.363271,2026-01-09T08:20:58.363642+00:00,1,1,2,130.0,0.36226971112204936,4,0,1,train
RD_AB_00061_03,CUST_PA00061_03,1767952368.5165262,2026-01-09T10:18:12.989956+00:00,3,3,1,16.0,0.699170383446972,4,0,1,train
RD_AB_00061_02,CUST_PA00061_02,1767954824.6286952,2026-01-09T10:48:48.801029+00:00,0,2,1,63.5,0.8239278404585655,4,0,1,train
RD_003960,CUST_002846,1767979646.7847114,2026-01-09T17:27:26.784711+00:00,0,0,1,500.3,0.236339685966782,1,0,0,train
RD_001279,CUST_003493,1768007750.7914722,2026-01-10T01:15:50.791472+00:00,0,0,1,1589.2,0.48927039099787883,1,0,0,train
RD_005070,CUST_001993,1768018029.553441,2026-01-10T04:07:09.553441+00:00,0,0,1,2644.2,0.2647027556752544,1,0,0,train
RD_002232,CUST_000422,1768030048.9476957,2026-01-10T07:27:28.947696+00:00,0,2,1,69.6,0.0636445009197098,26,0,0,train
RD_000452,CUST_001504,1768047698.5982406,2026-01-10T12:21:38.598241+00:00,0,2,1,15323.4,0.22716385753596133,18,0,0,train
RD_003924,CUST_000880,1768064185.108708,2026-01-10T16:56:25.108708+00:00,0,0,1,2513.2,0.37521465627464196,1,0,0,train
RD_001044,CUST_000668,1768077163.1237032,2026-01-10T20:32:43.123703+00:00,0,0,1,7425.5,0.3341020715928112,1,0,0,train
RD_004695,CUST_004089,1768081400.1304994,2026-01-10T21:43:20.130499+00:00,0,0,1,1080.8,0.07871202103442995,30,0,0,train
RD_004031,CUST_002714,1768098223.7973847,2026-01-11T02:23:43.797385+00:00,0,0,1,795.3,0.06699926503313351,1,0,0,train
RD_005450,CUST_004380,1768110218.6341474,2026-01-11T05:43:38.634147+00:00,0,0,1,255.3,0.08004377426659233,1,0,0,train
RD_003019,CUST_003580,1768130225.0474477,2026-01-11T11:17:05.047448+00:00,0,0,1,676.7,0.4671211534255819,1,0,0,train
RD_005103,CUST_002340,1768140958.139633,2026-01-11T14:15:58.139633+00:00,0,0,1,995.3,0.1273614384046095,1,0,0,train
RD_001123,CUST_004338,1768170053.953701,2026-01-11T22:20:53.953701+00:00,0,0,1,1160.2,0.10727965281443463,1,0,0,train
RD_002244,CUST_000668,1768178839.7089312,2026-01-12T00:47:19.708931+00:00,0,0,1,2788.4,0.36524465093081193,1,0,0,train
RD_000872,CUST_002668,1768189686.727017,2026-01-12T03:48:06.727017+00:00,0,0,1,3130.9,0.03836776011156518,1,0,0,train
RD_000115,CUST_003587,1768190158.7361455,2026-01-12T03:55:58.736145+00:00,0,0,1,269.8,0.23088835752636533,1,0,0,train
RD_003325,CUST_004007,1768195331.1232307,2026-01-12T05:22:11.123231+00:00,0,0,1,10610.1,0.3476748533970069,1,0,0,train
RD_001645,CUST_004297,1768203969.559888,2026-01-12T07:46:09.559888+00:00,1,0,2,35645.8,0.10502506026903444,3,0,0,train
RD_002751,CUST_004542,1768205468.3509722,2026-01-12T08:11:08.350972+00:00,0,0,1,239.4,0.20472804400351338,1,0,0,train
RD_002520,CUST_000594,1768207304.6255147,2026-01-12T08:41:44.625515+00:00,0,1,1,3452.2,0.4931358021049755,18,0,0,train
RD_003393,CUST_000519,1768218985.7090826,2026-01-12T11:56:25.709083+00:00,0,0,1,473.8,0.004088314436062566,1,0,0,train
RD_000103,CUST_003075,1768224618.9243999,2026-01-12T13:30:18.924400+00:00,0,0,1,3595.3,0.37360068709143496,1,0,0,train
RD_005216,CUST_000531,1768232777.0196033,2026-01-12T15:46:17.019603+00:00,0,0,1,19.9,0.15527242555886883,1,0,0,train
RD_003217,CUST_003894,1768279239.459994,2026-01-13T04:40:39.459994+00:00,0,0,1,1758.9,0.12449998732887553,1,0,0,train
RD_000092,CUST_000797,1768285173.5350437,2026-01-13T06:19:33.535044+00:00,0,0,1,14191.2,0.2164500472080678,1,0,0,train
